feature,importance
mood_index,37.28008314868355
valence,35.11582614311806
energy,26.35387671447767
energy_dance_interaction,7.651197791541024
instrumentalness,7.42016047496641
danceability,6.569409950152055
is_feat,6.25448237855975
artist_count,2.2568822798046377
acousticness,1.8983729612735394
speechiness,1.6619509457430472
is_short_track,0.8201273983329698
liveness,0.5965618905614233
track_genre_index,0.45171223283786066
explicit_int,0.3623778557028047
loudness,0.29226833951286574
tempo,0.0005874594620653262
duration_ms,6.917155125870861e-06
