feature,importance
energy_dance_interaction,35.171350662266214
danceability,30.111126408075798
valence,20.167509373100142
is_feat,17.318999448204952
mood_index,12.429062346622636
speechiness,10.387119372308382
instrumentalness,7.884791818992875
artist_count,3.017535859521179
explicit_int,2.5763718896816474
acousticness,2.5044528991467536
is_short_track,0.7919358777628066
liveness,0.6600660028296927
loudness,0.5751333143264268
energy,0.1795890092957209
track_genre_index,0.06658323561123342
tempo,0.005915766739756373
duration_ms,9.288755543856001e-06
